Name,Code,Short,Head,Status
Information Technlogy Education,ITC,ITE,Dr. Williams Asiedu,active
Mathematics Education,MT,MTE,Dr. Yarhands,active
Accounting Studies Education,ACC,ACC,Ms. Ellen Koffie,active
Management Education,MGT,MGT,Mr. Daniel Asimpi,active
Economics Education,EE,EE,Dr. Fatima Osei,active
Human Resource and Strategy,HRC,HRS,Dr. Owusu Ansah,active
Construction Technology and Management Education,CTC,CTM,Prof. Edward Nsiah,active
Wood Science and Technology Education,WSC,WST,Prof. Margaret Nkum,active
Mechanical and Automotive Engineering,MAC,MAE,Mrs. Philomina Asamoah,active
Electrical and Electronics Engineering,EEE,EEE,Dr. Nfum Wilberforce,active
Civil Engineering,CC,CE,Dr. Mavis Olapade,active
Hospitality and Tourism Education,THC,THE,Mr. Osei Yaw,active
Fashion  Design and Textiles Education,FDC,FD,Mrs. Theophilia Okoh,active
